# Wavelength(A)  Flux(10^-17 erg/s/cm^2/A)
3801.8930  7.7240
3802.7700  4.3230
3803.6450  -0.9190
3804.5220  0.4330
3805.3970  6.6430
3806.2730  10.0310
3807.1500  10.1490
3808.0260  6.5230
3808.9040  9.0640
3809.7810  6.6490
3810.6590  5.9610
3811.5360  5.1730
3812.4130  0.2610
3813.2920  -1.4040
3814.1690  6.1130
3815.0480  11.1840
3815.9260  7.5560
3816.8060  -0.3900
3817.6840  11.5890
3818.5620  3.1790
3819.4430  4.7140
3820.3220  4.3890
3821.2020  1.0310
3822.0820  2.5730
3822.9630  2.1710
3823.8420  2.5580
3824.7240  1.9060
3825.6040  5.5660
3826.4840  1.8450
3827.3660  3.6210
3828.2470  4.4210
3829.1300  2.6350
3830.0100  3.7560
3830.8940  6.7860
3831.7750  8.0730
3832.6560  10.5180
3833.5400  7.2410
3834.4220  -2.4030
3835.3060  8.2720
3836.1890  4.9950
3837.0730  3.9490
3837.9560  7.0260
3838.8390  4.8270
3839.7240  2.0880
3840.6080  3.7050
3841.4930  2.6540
3842.3770  5.4920
3843.2630  8.6020
3844.1470  6.3430
3845.0310  6.7820
3845.9180  13.7480
3846.8030  11.6560
3847.6900  6.6800
3848.5750  8.7410
3849.4630  3.7060
3850.3480  6.5910
3851.2340  7.7030
3852.1220  3.6080
3853.0080  8.7860
3853.8970  5.0700
3854.7830  3.6740
3855.6720  6.0220
3856.5590  6.7420
3857.4460  8.1590
3858.3360  9.1760
3859.2230  9.8370
3860.1140  8.4130
3861.0010  11.5140
3861.8920  3.7000
3862.7800  -1.0550
3863.6690  3.9150
3864.5600  8.8710
3865.4490  6.9830
3866.3400  5.0930
3867.2300  10.2420
3868.1210  9.2250
3869.0110  7.6940
3869.9010  0.7340
3870.7940  9.1550
3871.6840  5.5660
3872.5770  3.7330
3873.4680  9.1200
3874.3610  8.1930
3875.2520  4.2720
3876.1440  8.9190
3877.0380  4.5550
3877.9300  8.3150
3878.8240  4.4970
3879.7160  2.7790
3880.6110  7.0180
3881.5040  3.7830
3882.3960  1.9820
3883.2920  7.0580
3884.1850  4.7960
3885.0810  3.9440
3885.9750  9.6000
3886.8710  3.8130
3887.7650  3.7550
3888.6590  3.9880
3889.5560  2.8710
3890.4510  3.1150
3891.3480  5.8450
3892.2430  7.9740
3893.1410  7.6180
3894.0360  8.6050
3894.9340  5.8780
3895.8300  9.8050
3896.7260  9.4330
3897.6250  16.2970
3898.5210  19.0460
3899.4210  12.9830
3900.3180  10.8470
3901.2170  13.7130
3902.1150  8.6120
3903.0120  5.7160
3903.9120  10.9170
3904.8100  14.5430
3905.7110  12.8320
3906.6090  11.0100
3907.5100  6.7090
3908.4090  4.9890
3909.3080  4.8300
3910.2100  3.2740
3911.1090  6.8620
3912.0110  9.4220
3912.9110  11.1380
3913.8130  7.5010
3914.7140  8.4450
3915.6140  1.1560
3916.5170  0.7500
3917.4180  2.0800
3918.3220  3.1850
3919.2230  7.9980
3920.1270  7.5990
3921.0290  3.6510
3921.9310  2.3840
3922.8350  6.6770
3923.7370  6.2290
3924.6420  0.6040
3925.5450  5.0780
3926.4500  8.6490
3927.3540  6.3710
3928.2570  5.2430
3929.1630  4.5660
3930.0670  8.9720
3930.9730  5.0510
3931.8770  5.1200
3932.7840  6.7440
3933.6890  2.4740
3934.5940  1.9950
3935.5010  3.1810
3936.4060  4.2450
3937.3140  6.6430
3938.2200  5.6820
3939.1280  5.9710
3940.0340  -0.1000
3940.9410  5.3350
3941.8490  4.8460
3942.7560  6.9750
3943.6650  3.7980
3944.5730  4.1990
3945.4820  7.6220
3946.3900  4.3790
3947.2980  1.3240
3948.2080  5.4890
3949.1160  9.6730
3950.0270  4.3970
3950.9360  6.2530
3951.8470  8.8430
3952.7560  5.5630
3953.6650  6.7450
3954.5770  7.6070
3955.4870  3.6040
3956.3990  4.2050
3957.3090  4.6840
3958.2210  3.8090
3959.1320  5.2590
3960.0450  4.9830
3960.9560  2.9570
3961.8670  6.5800
3962.7810  5.7480
3963.6920  5.7420
3964.6060  7.9990
3965.5190  3.5750
3966.4330  6.6970
3967.3450  2.0790
3968.2580  5.7760
3969.1730  6.9010
3970.0860  9.1880
3971.0020  5.9490
3971.9150  6.4190
3972.8310  7.2850
3973.7450  9.4820
3974.6590  13.6140
3975.5760  4.2160
3976.4900  4.7370
3977.4070  5.8450
3978.3230  7.1380
3979.2400  5.7990
3980.1550  3.4760
3981.0710  7.3730
3981.9890  9.4790
3982.9050  7.6950
3983.8230  7.3870
3984.7400  5.0380
3985.6590  3.4790
3986.5760  6.0510
3987.4930  5.0070
3988.4120  9.2040
3989.3300  5.9420
3990.2500  6.3100
3991.1680  6.3160
3992.0880  3.6900
3993.0060  4.3950
3993.9250  7.6960
3994.8460  9.1180
3995.7650  4.8060
3996.6860  10.1740
3997.6060  5.0810
3998.5280  4.5930
3999.4480  3.1650
4000.3670  4.4070
4001.2900  6.7160
4002.2100  6.8230
4003.1330  7.4950
4004.0540  7.5930
4004.9780  8.7580
4005.8990  7.1210
4006.8210  4.1900
4007.7450  6.9030
4008.6670  4.8760
4009.5910  6.5580
4010.5130  7.5970
4011.4380  4.5320
4012.3610  4.8090
4013.2840  6.3820
4014.2090  4.3860
4015.1330  8.2510
4016.0590  6.4720
4016.9830  7.6430
4017.9090  8.3140
4018.8330  6.6410
4019.7580  7.6530
4020.6850  5.7290
4021.6100  1.7400
4022.5370  5.4680
4023.4620  3.7100
4024.3900  2.7160
4025.3160  6.5790
4026.2420  8.3730
4027.1700  5.1800
4028.0970  7.3740
4029.0260  5.6390
4029.9530  3.4960
4030.8820  4.8790
4031.8090  4.5450
4032.7390  8.8120
4033.6670  6.9240
4034.5950  4.4650
4035.5250  4.4160
4036.4530  6.7730
4037.3840  5.3350
4038.3130  6.9380
4039.2440  9.1710
4040.1740  8.2100
4041.1030  6.9900
4042.0350  6.3340
4042.9650  3.8200
4043.8970  7.1480
4044.8270  6.6840
4045.7600  3.8840
4046.6910  5.7370
4047.6220  9.7290
4048.5550  6.8150
4049.4860  5.6060
4050.4200  8.0170
4051.3520  4.7190
4052.2860  4.1000
4053.2190  6.8300
4054.1510  5.9540
4055.0860  5.9620
4056.0190  4.6770
4056.9540  4.7240
4057.8870  6.0630
4058.8230  6.7970
4059.7570  6.8410
4060.6910  5.8660
4061.6270  4.0140
4062.5610  4.0440
4063.4980  3.9160
4064.4330  8.3660
4065.3700  4.7930
4066.3050  6.5120
4067.2410  6.3190
4068.1790  5.9910
4069.1150  6.0720
4070.0530  5.2510
4070.9890  5.5120
4071.9280  5.3970
4072.8650  3.0590
4073.8020  5.0270
4074.7410  6.4350
4075.6790  4.2790
4076.6180  5.3930
4077.5560  3.8100
4078.4970  4.6130
4079.4350  4.5750
4080.3730  4.5980
4081.3140  8.3110
4082.2530  3.2440
4083.1940  4.8430
4084.1340  3.9090
4085.0760  3.9000
4086.0150  3.8960
4086.9550  5.4960
4087.8980  8.5170
4088.8380  9.2290
4089.7810  5.8030
4090.7220  3.8130
4091.6650  7.2420
4092.6060  7.1920
4093.5480  4.7210
4094.4920  6.5300
4095.4340  8.6430
4096.3780  6.7590
4097.3210  8.0490
4098.2660  7.2560
4099.2080  7.3290
4100.1510  5.9030
4101.0970  2.9740
4102.0400  7.3220
4102.9860  6.7530
4103.9300  5.7790
4104.8760  7.1950
